iso3,occupation,employment,w_within_emp
AGO,7224,47.480675,0.0015229738689241119
AGO,7231,47.480675,0.0015229738689241119
AGO,7232,47.480675,0.0015229738689241119
AGO,7233,47.480675,0.0015229738689241119
AGO,7311,47.480675,0.0015229738689241119
AGO,7321,47.480675,0.0015229738689241119
AGO,7322,47.480675,0.0015229738689241119
AGO,7411,47.480675,0.0015229738689241119
AGO,7412,47.480675,0.0015229738689241119
AGO,7413,47.480675,0.0015229738689241119
AGO,7421,47.480675,0.0015229738689241119
AGO,7422,47.480675,0.0015229738689241119
AGO,7511,47.480675,0.0015229738689241119
AGO,7512,47.480675,0.0015229738689241119
AGO,7514,47.480675,0.0015229738689241119
AGO,7515,47.480675,0.0015229738689241119
AGO,7522,47.480675,0.0015229738689241119
AGO,7531,47.480675,0.0015229738689241119
AGO,7534,47.480675,0.0015229738689241119
AGO,7541,47.480675,0.0015229738689241119
AGO,7543,47.480675,0.0015229738689241119
AGO,7544,47.480675,0.0015229738689241119
AGO,7549,47.480675,0.0015229738689241119
AGO,8113,85.99228571428573,0.0027582591037703945
AGO,8131,85.99228571428573,0.0027582591037703945
AGO,8142,85.99228571428573,0.0027582591037703945
AGO,8182,85.99228571428573,0.0027582591037703945
AGO,8211,85.99228571428573,0.0027582591037703945
AGO,8212,85.99228571428573,0.0027582591037703945
AGO,8219,85.99228571428573,0.0027582591037703945
AGO,8312,85.99228571428573,0.0027582591037703945
AGO,8322,85.99228571428573,0.0027582591037703945
AGO,8332,85.99228571428573,0.0027582591037703945
AGO,8342,85.99228571428573,0.0027582591037703945
AGO,8343,85.99228571428573,0.0027582591037703945
AGO,8344,85.99228571428573,0.0027582591037703945
AGO,8350,85.99228571428573,0.0027582591037703945
AGO,9121,124.62700000000002,0.003997492966610212
AGO,9313,124.62700000000002,0.003997492966610212
AGO,9321,124.62700000000002,0.003997492966610212
AGO,9329,124.62700000000002,0.003997492966610212
AGO,9333,124.62700000000002,0.003997492966610212
AGO,9412,124.62700000000002,0.003997492966610212
AGO,9611,124.62700000000002,0.003997492966610212
AGO,9621,124.62700000000002,0.003997492966610212
AGO,9622,124.62700000000002,0.003997492966610212
AGO,9623,124.62700000000002,0.003997492966610212
ALB,1112,4.495318181818182,0.001201041500946653
ALB,1120,4.495318181818182,0.001201041500946653
ALB,1211,4.495318181818182,0.001201041500946653
ALB,1212,4.495318181818182,0.001201041500946653
ALB,1213,4.495318181818182,0.001201041500946653
ALB,1219,4.495318181818182,0.001201041500946653
ALB,1221,4.495318181818182,0.001201041500946653
ALB,1222,4.495318181818182,0.001201041500946653
ALB,1223,4.495318181818182,0.001201041500946653
ALB,1311,4.495318181818182,0.001201041500946653
ALB,1321,4.495318181818182,0.001201041500946653
ALB,1323,4.495318181818182,0.001201041500946653
ALB,1324,4.495318181818182,0.001201041500946653
ALB,1330,4.495318181818182,0.001201041500946653
ALB,1342,4.495318181818182,0.001201041500946653
ALB,1343,4.495318181818182,0.001201041500946653
ALB,1345,4.495318181818182,0.001201041500946653
ALB,1346,4.495318181818182,0.001201041500946653
ALB,1411,4.495318181818182,0.001201041500946653
ALB,1412,4.495318181818182,0.001201041500946653
ALB,1420,4.495318181818182,0.001201041500946653
ALB,1431,4.495318181818182,0.001201041500946653
ALB,2111,6.1549375,0.0016444520886490235
ALB,2112,6.1549375,0.0016444520886490235
ALB,2113,6.1549375,0.0016444520886490235
ALB,2114,6.1549375,0.0016444520886490235
ALB,2120,6.1549375,0.0016444520886490235
ALB,2131,6.1549375,0.0016444520886490235
ALB,2133,6.1549375,0.0016444520886490235
ALB,2141,6.1549375,0.0016444520886490235
ALB,2142,6.1549375,0.0016444520886490235
ALB,2143,6.1549375,0.0016444520886490235
ALB,2144,6.1549375,0.0016444520886490235
ALB,2145,6.1549375,0.0016444520886490235
ALB,2146,6.1549375,0.0016444520886490235
ALB,2149,6.1549375,0.0016444520886490235
ALB,2151,6.1549375,0.0016444520886490235
ALB,2152,6.1549375,0.0016444520886490235
ALB,2153,6.1549375,0.0016444520886490235
ALB,2161,6.1549375,0.0016444520886490235
ALB,2163,6.1549375,0.0016444520886490235
ALB,2164,6.1549375,0.0016444520886490235
ALB,2166,6.1549375,0.0016444520886490235
ALB,2211,6.1549375,0.0016444520886490235
ALB,2212,6.1549375,0.0016444520886490235
ALB,2221,6.1549375,0.0016444520886490235
ALB,2250,6.1549375,0.0016444520886490235
